2026/04/04 20:50:02 Started
2026/04/04 20:50:02 Database connected
2026/04/04 20:50:04 Database initialized
2026/04/04 20:50:04 Routers initialized
2026/04/04 20:50:04 Admin created
2026/04/04 20:50:04 Initialized
2026/04/04 20:50:50 Loggin [Admin]
2026/04/04 20:50:54 Orders GET [admin]
2026/04/04 20:50:55 WorkTimes GET [admin]
2026/04/04 20:51:00 Users GET [admin]
2026/04/04 20:51:01 Roles GET [admin]
2026/04/04 20:51:02 Logs GET [admin]
2026/04/04 20:51:06 Roles GET [admin]
2026/04/04 20:51:07 Users GET [admin]
2026/04/04 20:51:09 Orders GET [admin]
2026/04/04 20:51:11 WorkTimes GET [admin]
