2025/11/21 20:02:09 Started
2025/11/21 20:02:09 Database connected
2025/11/21 20:02:09 Database initialized
2025/11/21 20:02:09 Routers initialized
2025/11/21 20:02:09 Admin created
2025/11/21 20:02:09 Initialized
2025/11/21 20:05:20 Loggin [Admin]
2025/11/21 20:05:32 WorkTimes GET [admin]
2025/11/21 20:05:34 Users GET [admin]
2025/11/21 20:05:36 Roles GET [admin]
2025/11/21 20:05:38 Orders GET [admin]
2025/11/21 20:05:40 Order GET [admin]
2025/11/21 20:05:45 Orders GET [admin]
2025/11/21 20:05:48 WorkTimes GET [admin]
2025/11/21 20:06:27 Announce POST [admin]
2025/11/21 20:06:31 Announce GET [admin]
